제목,내용,PDF파일명,페이지
2024년,임상시험수탁기관 해당 여부,2024_faq.pdf,76
2024년,GMP 인증서 제출 자료 요건,2024_faq.pdf,77
2024년,공산품(헬스케어 기기)을 활용한 임상시험 진행 시 식약처 임상시험계획승인 대상여부,2024_faq.pdf,77
2024년,비임상시험기관 지정 가능 여부,2024_faq.pdf,79
2024년,의료기기 임상시험 대상자 의무기록 열람 등 모니터링,2024_faq.pdf,79
2024년,의료기기 임상시험계획승인 대상 제외 기준,2024_faq.pdf,80
2024년,이미 의료기기 허가(인증)받은 제품에 대한 새로운 적응증 확인을 위한 임상시험,2024_faq.pdf,81
2024년,인공지능 의료기기 임상시험의 증례기록서 관련 질의,2024_faq.pdf,83
2024년,임상시험 문서 최소 보관기한,2024_faq.pdf,84
2024년,임상시험 수술방법 변경 시 변경승인,2024_faq.pdf,85
2024년,임상시험기관 대표자 변경 방법,2024_faq.pdf,86
2024년,임상시험기관 문서보관소 이전 시 변경승인,2024_faq.pdf,87
2024년,임상시험기관을 통한 임상시험,2024_faq.pdf,87
2024년,임상시험에서 증례기록서 작성 방법,2024_faq.pdf,88
2024년,데모용으로 사용하던 제품의 중고의료기기 해당여부,2024_faq.pdf,89
2024년,의료기관의 포괄적 양도양수 시 중고의료기기 검사필증 부착 의무,2024_faq.pdf,90
2024년,의료기기 생산실적 보고,2024_faq.pdf,91
2024년,일반 법인회사에서 보유하던 중고의료기기(자동심장충격기)의 처분(판매),2024_faq.pdf,92
2024년,1등급의료기기 GMP적합인증서 필요 여부,2024_faq.pdf,93
2024년,구성품 출하검사 실시 여부,2024_faq.pdf,93
2024년,국내 판매를 위한 GMP 심사 종류,2024_faq.pdf,94
2024년,자사 GMP 만료 시 판매업자 보유 제품 판매 가능 여부,2024_faq.pdf,94
2024년,제조자 제조의뢰자 관계 변경 시 GMP 심사 방법,2024_faq.pdf,95
2024년,품질관리문서 전자문서 가능 여부,2024_faq.pdf,96
2024년,품질책임자 1명 가능 여부,2024_faq.pdf,96
2024년,제조업 폐업 시 품목 허가 취하 여부,2024_faq.pdf,97
2024년,고주파자극기 병행수입,2024_faq.pdf,98
2024년,수입 의료기기 판매 절차,2024_faq.pdf,99
2024년,안경 수입시 필요한 인증,2024_faq.pdf,99
2024년,의료기기 품목허가 관련,2024_faq.pdf,100
2024년,의료기기 구성품 수입,2024_faq.pdf,100
2024년,수입 GMP 적합인정서 만료 이후 판매,2024_faq.pdf,101
2024년,의료기기 수입업자 품질문서,2024_faq.pdf,101
2024년,견본용 의료기기 수입 절차,2024_faq.pdf,102
2024년,샘플로 수출한 의료기기 요건면제 가능 여부,2024_faq.pdf,102
2024년,요건면제 대상에 해당 여부(자가사용용-양압기),2024_faq.pdf,103
2024년,요건면제 대상에 해당 여부(자가사용용-질식방지기구),2024_faq.pdf,104
2024년,의료기기 취하 후 수리목적 수입 문의,2024_faq.pdf,105
2024년,의약품 임상시험에 사용되는 부수적인 의료기기 수입 절차,2024_faq.pdf,106
2024년,전시 및 견본용 의료기기의 사용 기간 규정,2024_faq.pdf,107
2024년,제품 수리 후 재반입 시 정보 확인,2024_faq.pdf,107
2024년,허가 전 의료기기 수입,2024_faq.pdf,108
2024년,의료기기 1등급 품목취하 제품 수리 가능 여부,2024_faq.pdf,109
2024년,타사 제품 자사에서 수리 가능 여부,2024_faq.pdf,110
2024년,대형마트 내 의료기기 판매업 신고 및 시설 관련 질의,2024_faq.pdf,111
2024년,반품 제품 중고의료기기 판매,2024_faq.pdf,111
2024년,병원 내 혈압계 판매,2024_faq.pdf,112
2024년,병원으로 의료기기 납품 시 영업 종류,2024_faq.pdf,112
2024년,의료기관간 의료기기 거래,2024_faq.pdf,113
2024년,의료기기 병원 판매 시 판매업 필요 여부,2024_faq.pdf,114
2024년,의료기기 판매 가격,2024_faq.pdf,115
2024년,의료기기 판매업 신고,2024_faq.pdf,115
2024년,의료기기 판매업 신고 대상,2024_faq.pdf,115
2024년,의료기기 판매업 신고 대상(제조업자의 창고),2024_faq.pdf,116
2024년,의약품 도매상에서 일반인에게 의료기기 판매,2024_faq.pdf,116
2024년,자가진단용 모바일 의료용 앱이 탑재된 스마트기기 판매,2024_faq.pdf,117
2024년,중고의료기기 판매업자에게 판매 시 필요한 영업,2024_faq.pdf,118
2024년,통신판매 중개업 판매업 대상 여부,2024_faq.pdf,119
2024년,판매업자 준수사항,2024_faq.pdf,119
2024년,판매업자에게 중고의료기기 판매 가능 여부,2024_faq.pdf,120
2024년,학교에 의료기기 무상 기증,2024_faq.pdf,120
2024년,임대 의료기기 중고의료기기 필증 부착,2024_faq.pdf,121
2024년,중고의료기기 판매(유통),2024_faq.pdf,122
2024년,판매업체 내 다른 제품 판매,2024_faq.pdf,123
2024년,표시사항 제거 후 판매,2024_faq.pdf,124
2024년,UDI표시 시 제조자 제조의뢰자 관계,2024_faq.pdf,125
2024년,디지털치료기기의 표준코드 기재 방법,2024_faq.pdf,126
2024년,수입업자 UDI 변경 가능 여부,2024_faq.pdf,127
2024년,외국 UDI 재생성,2024_faq.pdf,128
2024년,의료기기 샘플 표시,2024_faq.pdf,128
2024년,의료기기 표준코드 작성 위치,2024_faq.pdf,129
2024년,의료기기의 사용기한 기재 방법,2024_faq.pdf,129
2024년,제조연월만 기재 가능 여부,2024_faq.pdf,130
2024년,코세정용 염화나트륨 분말 표시사항,2024_faq.pdf,130
2024년,판매업자가 제품 포장에 표시 기재 가능 여부,2024_faq.pdf,131
2024년,소프트웨어 첨부문서 제공,2024_faq.pdf,132
2024년,첨부문서 상세 기재 가능 여부,2024_faq.pdf,132
2024년,의료기기 첨부문서 기준,2024_faq.pdf,133
2024년,의료기기 표시 시 줄간격,2024_faq.pdf,133
2024년,의료기기의 영문 표시 기재,2024_faq.pdf,134
2024년,전량 수출용 의료기기 한글표시사항,2024_faq.pdf,134
2024년,제조국 및 제조사명 영문 기재,2024_faq.pdf,135
2024년,미허가 의료기기의 광고,2024_faq.pdf,136
2024년,광고 자율심의 변경,2024_faq.pdf,137
2024년,의료기기 광고금지의 범위,2024_faq.pdf,138
2024년,의료기기 법령 위반 시 행정처분,2024_faq.pdf,138
2024년,의료기기 표시 기재 관련,2024_faq.pdf,139
2024년,의료기기 할인판매 이벤트 홍보,2024_faq.pdf,140
2024년,자사 SNS 시술장면 업로드,2024_faq.pdf,141
2024년,전시목적 의료기기,2024_faq.pdf,142
2024년,진료용 장갑 식품용 표기,2024_faq.pdf,143
2024년,허가전 의료기기의 광고,2024_faq.pdf,143
2024년,홈쇼핑에서의 의료기기 광고,2024_faq.pdf,144
2024년,광고 자율심의기구,2024_faq.pdf,144
2024년,광고제작 및 심의,2024_faq.pdf,145
2024년,의료기기 광고 심의(매체별),2024_faq.pdf,146
2024년,의료기기 광고 심의(홈페이지게시),2024_faq.pdf,146
2024년,자사 홈페이지 게시물 광고심의 대상 여부,2024_faq.pdf,147
2024년,수출용 의료기기 국내 판매,2024_faq.pdf,149
2024년,의료기기와 공산품 합포장 가능 여부,2024_faq.pdf,150
2024년,의료기기 합포장,2024_faq.pdf,151
2024년,의료기기를 공산품으로 판매 가능 여부,2024_faq.pdf,151
2024년,전시목적의료기기를 들여올 경우 통관 방법,2024_faq.pdf,152
2024년,제품 소분 후 무상 제공,2024_faq.pdf,153
2024년,제품 재포장 후 허가,2024_faq.pdf,153
2024년,제품 포장단위 변경 판매,2024_faq.pdf,154
2024년,판매업자 콘택트렌즈 수출 가능 여부,2024_faq.pdf,154
2024년,해외 학회 참여 시 전시목적의료기기 승인 대상 여부,2024_faq.pdf,155
2024년,의료기기 시험검사기관 지정현황 확인 경로,2024_faq.pdf,156
2024년,추적관리대상 의료기기 자진취하 후 조치,2024_faq.pdf,157
2024년,동일 의료기기 이상사례 다수 확인 시 보고 방법,2024_faq.pdf,158
2024년,공급내역보고 시점,2024_faq.pdf,159
2024년,공급내역보고한 의료기기 반품 시 처리방법,2024_faq.pdf,159
2024년,안경렌즈를 안경원으로 유통 시 공급내역보고 대상,2024_faq.pdf,159
2024년,의료기기 폐기 절차,2024_faq.pdf,160
2024년,보험 가입기간 중 의료기기 신규 허가,2024_faq.pdf,161
2024년,보험 가입정보 입력기한,2024_faq.pdf,162
2024년,보험 가입정보 입력방법,2024_faq.pdf,162
2024년,보험 만기 시 재가입 절차,2024_faq.pdf,163
2024년,보험 미가입 업체 처벌,2024_faq.pdf,163
2024년,보험 배상 피해 범위,2024_faq.pdf,163
2024년,보험가입 절차,2024_faq.pdf,164
2024년,보험료의 범위,2024_faq.pdf,164
2024년,보험의 보장범위,2024_faq.pdf,165
2024년,양도양수에 따른 의료기기 보험 승계,2024_faq.pdf,166
2024년,위탁업체 보험가입 여부,2024_faq.pdf,166
2024년,의료기기 배상책임공제 대상,2024_faq.pdf,166
2024년,인체이식형 의료기기 해당여부,2024_faq.pdf,167
2024년,수입 1등급 의료기기 안전확보,2024_faq.pdf,168
2024년,인체이식형 의료기기의 정의,2024_faq.pdf,168
2024년,정보시스템의 보험 가입정보의 범위,2024_faq.pdf,168
2024년,중복 보험 가입 여부,2024_faq.pdf,169
2024년,책임보험 기간만료로 갱신 시 갱신 등록 방법,2024_faq.pdf,169
2024년,책임보험 보상 수준,2024_faq.pdf,170
2024년,책임보험 의무 가입대상,2024_faq.pdf,171
2024년,책임보험의 종류,2024_faq.pdf,172
2024년,해외 피해 관련,2024_faq.pdf,172
2024년,휴업 시 보험 유지 유무,2024_faq.pdf,172
2024년,양도업체에서 재고 판매 가능 여부,2024_faq.pdf,173
2024년,GMP 적합인정 시 갱신 여부,2024_faq.pdf,174
2024년,갱신 담당 기관,2024_faq.pdf,174
2024년,갱신 대상 의료기기,2024_faq.pdf,175
2024년,갱신 대상 의료기기(미제조/수입),2024_faq.pdf,176
2024년,갱신 불가 사유,2024_faq.pdf,177
2024년,갱신 불가 시 제품 회수,2024_faq.pdf,178
2024년,갱신 불가 통보 시 조치사항,2024_faq.pdf,178
2024년,갱신 시 유효기간,2024_faq.pdf,178
2024년,갱신 시 제출자료 기간,2024_faq.pdf,179
2024년,갱신 시 제출자료 종류,2024_faq.pdf,180
2024년,갱신 시 허가증/인증서 원본 제출,2024_faq.pdf,181
2024년,갱신 신청 수수료,2024_faq.pdf,181
2024년,갱신 신청기한,2024_faq.pdf,182
2024년,갱신 신청기한 이후 신청 여부,2024_faq.pdf,182
2024년,갱신 신청기한 이후 허가/인증/신고,2024_faq.pdf,183
2024년,갱신 신청시 보완 기간,2024_faq.pdf,183
2024년,갱신 자료 모델별 제출 여부,2024_faq.pdf,184
2024년,갱신 중 변경 신청,2024_faq.pdf,184
2024년,갱신 처리기한,2024_faq.pdf,185
2024년,갱신 시 허가증/인증서/체외진단의료기기 신고증명서 신규발급 여부,2024_faq.pdf,185
2024년,갱신 시 허가/인증/신고번호 변경 여부,2024_faq.pdf,186
2024년,미갱신 시 유효기간 이후 생산/수입 가능 여부,2024_faq.pdf,186
2024년,미갱시 시 의료기관 의료기기 사용 가능 여부,2024_faq.pdf,187
2024년,미갱신 시 재고 판매 가능 여부,2024_faq.pdf,187
2024년,미갱신 시 허가/인증/신고 취소 여부,2024_faq.pdf,188
2024년,변경 허가 시 성능 및 안전성 확인 자료 제출 면제 여부,2024_faq.pdf,188
2024년,보완 기간의 연장,2024_faq.pdf,189
2024년,생산/수입실적 인정 수량,2024_faq.pdf,189
2024년,생산/수입실적 인정 여부(한벌구성의료기기),2024_faq.pdf,190
2024년,생산/수입실적 자료 기간,2024_faq.pdf,190
2024년,수입/제조실적 인정 여부(동일모델 단일 허가/인증/신고),2024_faq.pdf,191
2024년,수출 목적 의료기기 갱신 대상 여부,2024_faq.pdf,191
2024년,시판 후 조사 대상 의료기기 유효기간,2024_faq.pdf,192
2024년,양수자 갱신 신청 시 실적,2024_faq.pdf,192
2024년,유효기간 내 허가/인증/신고 변경 시 유효기간 변경 여부,2024_faq.pdf,193
2024년,유효기간 만료 예정 확인 및 갱신 신청 방법,2024_faq.pdf,193
2024년,의료기기 갱신 유효기간 만료 이후 판매 가능 여부,2024_faq.pdf,194
2024년,의료기기 제조허가 갱신 시행일,2024_faq.pdf,194
2024년,의료기기 허가/인증/신고의 유효기간,2024_faq.pdf,195
2024년,의료기기 허가/인증/신고의 유효기간(~2020.10.08),2024_faq.pdf,195
2024년,이미 보고한 생산/수입실적 인정 여부,2024_faq.pdf,196
2024년,이전 유효기간 동안 수집된 자료 제출 여부,2024_faq.pdf,196
2024년,제출자료의 요건,2024_faq.pdf,197
2024년,제출자료의 요건(최신규격 반영 자료),2024_faq.pdf,198
2024년,제품의 성능 및 안전성 확인 자료 제출 면제,2024_faq.pdf,198
2024년,제품의 성능 및 안전성 확인 자료 제출 여부,2024_faq.pdf,199
2024년,조건부 의료기기 대상 여부,2024_faq.pdf,200
2024년,품목 유효기간 확인 방법,2024_faq.pdf,200
2024년,허가증/인증서 원본 분실,2024_faq.pdf,201
2024년,허가/인증/신고번호 동일한 경우 갱신 신청,2024_faq.pdf,201
2024년,허가/인증/신고변경과 갱신,2024_faq.pdf,202
2024년,휴업기간 갱신 신청 여부,2024_faq.pdf,202
2024년,체외진단의료기기 해당여부 민원 신청 방법,2024_faq.pdf,205
2024년,체외진단의료기기 정의,2024_faq.pdf,206
2024년,체외진단의료기기 품목분류 확인 방법,2024_faq.pdf,207
2024년,GMP 변경심사 대상,2024_faq.pdf,208
2024년,GMP심사 결과 품목 허가 영향 여부,2024_faq.pdf,209
2024년,수출용 품목 GMP 추가 심사,2024_faq.pdf,209
2024년,체외진단의료기기 1등급 품목 GMP필요 여부,2024_faq.pdf,210
2024년,체외진단기기 허가 갱신 대상 여부,2024_faq.pdf,211
2024년,체외진단의료기기 유통품질 관리점검주기,2024_faq.pdf,211
2024년,체외진단의료기기 이물보고 대상,2024_faq.pdf,212
2024년,체외진단의료기기 품질관리 문서 보존 기간,2024_faq.pdf,212
2024년,판매업 신고 면제 의료기기,2024_faq.pdf,213
2024년,품질책임자 겸임 가능 여부,2024_faq.pdf,213
2024년,체외진단의료기기 임상적 성능시험 종사자 교육,2024_faq.pdf,214
2024년,시약 카드리지 UDI 적용 유무,2024_faq.pdf,215
2024년,체외진단의료기기의 부분품에 대한 표시,2024_faq.pdf,216
2024년,체외진단의료기기 판매업체 상호 주소 표시,2024_faq.pdf,217
2024년,체외진단의료기기 표시 기재 관련(영문라벨),2024_faq.pdf,218
2024년,체외진단의료기기 표시 기재 관련(판매자 정보),2024_faq.pdf,219
2024년,혁신의료기기 신청 가능 여부,2024_faq.pdf,223
2024년,혁신의료기기 지정 처리기간,2024_faq.pdf,224
2024년,혁신의료기기 지정 현황,2024_faq.pdf,224
2024년,혁신의료기기 정의,2024_faq.pdf,224
2023년,양수자 표준통관예정보고,2023_faq.pdf,19
2023년,의료인만 사용 가능한 의료기기,2023_faq.pdf,19
2023년,수입 1등급 의료기기 안전확보,2023_faq.pdf,20
2023년,수출용 제조 시 허가 ,2023_faq.pdf,21
2023년,1등급 제품 기준규격 부합 자료,2023_faq.pdf,21
2023년,고주파자극기 병행수입,2023_faq.pdf,22
2023년,해외 제조소 명칭 및 대표이사 동일 여부,2023_faq.pdf,23
2023년,개인용 윤활제 허가,2023_faq.pdf,23
2023년,국내 구입제품 해외배송,2023_faq.pdf,24
2023년,체외진단의료기기 해외 생산 시 절차,2023_faq.pdf,25
2023년,수입제품 물류 위탁 시 영업,2023_faq.pdf,26
2023년,체외진단의료기기 제조일자 부여 규정,2023_faq.pdf,27
2023년,1등급 체외진단 의료기기 수입 신고 절차,2023_faq.pdf,28
2023년,판매업 관리책임자 자격. 겸직,2023_faq.pdf,29
2023년,허가증 내 수탁자 제조시설 기재,2023_faq.pdf,30
2023년,폐업한 업체의 표준통관예정보고,2023_faq.pdf,30
2023년,제품 재포장 후 허가,2023_faq.pdf,31
2023년,중고의료기기 수출 절차,2023_faq.pdf,32
2023년,해외 전공정 제조 제품의 수출용 허가,2023_faq.pdf,33
2023년,대체품의 중고의료기기 해당 여부,2023_faq.pdf,37
2023년,초음파 치석제거기 의료기기 해당 여부,2023_faq.pdf,38
2023년,입벌림 방지용 밴드 의료기기 해당 여부,2023_faq.pdf,39
2023년,무도수 안경렌즈 의료기기 해당 여부,2023_faq.pdf,40
2023년,개인용 윤활제 의료기기 해당 여부,2023_faq.pdf,41
2023년,제조 관계에 따른 GMP 신규심사 진행,2023_faq.pdf,45
2023년,자사포장단위 판매,2023_faq.pdf,46
2023년,전공정 위탁 시 GMP,2023_faq.pdf,47
2023년,전기사용 의료기기 수입업자 준수사항,2023_faq.pdf,48
2023년,체외품목 자진취하 후 기 취득한 GMP 적합인정서 유효성,2023_faq.pdf,49
2023년,GMP 심사 부적합 시 품목허가 취소,2023_faq.pdf,49
2023년,품목 양수 후 판매,2023_faq.pdf,50
2023년,부품도면 전자문서 관리,2023_faq.pdf,51
2023년,해외 판매 시 득해야 하는 GMP,2023_faq.pdf,51
2023년,체외진단의료기기 GMP 판매중지 유예,2023_faq.pdf,52
2023년,제조소 소재지 변경(축소),2023_faq.pdf,53
2023년,프로세스 벨리데이션용 생산제품 판매,2023_faq.pdf,54
2023년,GMP 적합인정서 만료 이후 판매,2023_faq.pdf,55
2023년,임상시험 신청 시 제조자/제조의뢰자가 다른 경우 GMP,2023_faq.pdf,56
2023년,매뉴얼. 주의사항 홈페이지 게시 시 자율심의,2023_faq.pdf,59
2023년,수입 의료기기 1차 포장 표시,2023_faq.pdf,60
2023년,전기 찜질기 쇼핑몰 판매 시 “수족냉증” 단어사용 가능 여부,2023_faq.pdf,62
2023년,제조업체 표시. 1등급 GMP 심사,2023_faq.pdf,63
2023년,광고심의필 의무 여부,2023_faq.pdf,64
2023년,판매업자. 브랜드 기재,2023_faq.pdf,65
2023년,한벌구성 의료기기 포장,2023_faq.pdf,66
2023년,고유식별자 기준,2023_faq.pdf,67
2023년,한벌구성 의료기기 표준코드 표시,2023_faq.pdf,67
2023년,소비자 유통 포장단위 표준코드 기재,2023_faq.pdf,68
2023년,인터넷 홈페이지 형태 첨부문서 제공 시점,2023_faq.pdf,68
2023년,수입연월 기재,2023_faq.pdf,69
2023년,비교 논문을 인용한 광고,2023_faq.pdf,70
2023년,공산품 방석 광고,2023_faq.pdf,71
2023년,의료기기 광고심의,2023_faq.pdf,72
2023년,공산품 광고 시 병명 사용,2023_faq.pdf,73
2023년,체외진단의료기기 국문 표시기재 사항,2023_faq.pdf,74
2023년,사용기한 변경 시 표시기재,2023_faq.pdf,75
2023년,제품 기술 광고,2023_faq.pdf,76
2023년,의료기기 광고 시 대소문자 사용,2023_faq.pdf,77
2023년,제조사명 축약 기재,2023_faq.pdf,77
2023년,표준코드 기재. 고객만족도 조사,2023_faq.pdf,78
2023년,체외진단의료기기 표준코드 라벨 부착 위치,2023_faq.pdf,79
2023년,사전심의광고물 효력,2023_faq.pdf,80
2023년,자율심의광고 블로그 홍보 이용,2023_faq.pdf,81
2023년,제품 해외 수리 시 기재사항,2023_faq.pdf,82
2023년,체험단 리뷰 작성 등,2023_faq.pdf,83
2023년,국내에서 해외 수출판매 시 영업,2023_faq.pdf,84
2023년,수입 멸균 봉함의료기기 최소 포장단위 표시,2023_faq.pdf,84
2023년,영수증 리뷰 이벤트,2023_faq.pdf,85
2023년,체외진단 위탁생산 시 보유 인증,2023_faq.pdf,86
2023년,사용기한 영구. 반영구 기재,2023_faq.pdf,87
2023년,의료기기 공급내역보고 제도 개선 관련,2023_faq.pdf,87
2023년,외국 의료인 광고 출연,2023_faq.pdf,88
2023년,의료기기 표시기재 사항 관련 문의,2023_faq.pdf,88
2023년,한벌구성 의료기기 표시기재,2023_faq.pdf,89
2023년,동일광고 자율심의,2023_faq.pdf,90
2023년,융복합의료기기 허가번호 기재,2023_faq.pdf,90
2023년,공산품 판매 시 질병명 키워드,2023_faq.pdf,91
2023년,자율광고심의 마크 미표시,2023_faq.pdf,92
2023년,판매업자 광고 위반 시 행정처분,2023_faq.pdf,93
2023년,제품 사용과정 광고,2023_faq.pdf,94
2023년,수입의료기기 라벨 부착 문의,2023_faq.pdf,95
2023년,광고 제작. 사용,2023_faq.pdf,96
2023년,제조자 두 곳 이상일 경우 표시,2023_faq.pdf,97
2023년,자사 SNS 시술장면 업로드,2023_faq.pdf,98
2023년,외국어 병행 기재,2023_faq.pdf,99
2023년,포장 제품명 기재,2023_faq.pdf,99
2023년,응용식별자(AI) 순서,2023_faq.pdf,100
2023년,광고 시 의사가 효능 설명,2023_faq.pdf,101
2023년,첨부문서 제공 기준,2023_faq.pdf,102
2023년,외부 용기 표준코드 기재,2023_faq.pdf,104
2023년,국문. 영문라벨 기재,2023_faq.pdf,104
2023년,표준코드 생성 시 일련번호. 로트번호,2023_faq.pdf,105
2023년,온라인 영문 사용 설명서 제공,2023_faq.pdf,105
2023년,온라인 방송 홍보 시 금지 광고 여부,2023_faq.pdf,106
2023년,ISO9001 인증 기재,2023_faq.pdf,106
2023년,할인 이벤트 광고,2023_faq.pdf,107
2023년,추천인 코드 할인 광고,2023_faq.pdf,108
2023년,소재지 변경 시 기존 라벨. 포장 사용,2023_faq.pdf,109
2023년,표준코드 표시 의료기기 종류,2023_faq.pdf,110
2023년,이전에 심의 받은 광고물 사용,2023_faq.pdf,111
2023년,첨부문서 임의 수정,2023_faq.pdf,112
2023년,판매자 준수사항,2023_faq.pdf,115
2023년,유축기 임대,2023_faq.pdf,116
2023년,판매업 신고 대상,2023_faq.pdf,117
2023년,병원 내 혈압계 판매,2023_faq.pdf,118
2023년,의료기기판매업(보청기) 업소 상호 사용가능 여부,2023_faq.pdf,119
2023년,온라인 판매 시 품목 제한,2023_faq.pdf,119
2023년,타사 의료기기 판매 시 판매업,2023_faq.pdf,120
2023년,전자제품 판매업 내 의료기기 판매,2023_faq.pdf,121
2023년,보관 및 판매수수료 받을 경우 판매업,2023_faq.pdf,122
